customer_review_id,customer_id,location_id,review_datetime,review_text,social_media_source,social_media_handle,productId,rating
136,1136,5004,2025-04-26 10:24:17 UTC,"Okay, I'm obsessed with this Google Gray French Terry Zip Hoodie! It's seriously the perfect weight for layering. Not too heavy, not too thin. The French Terry is super soft and comfortable, and the gray color is a really nice neutral that goes with everything. I love that it has a zipper, makes it easy to throw on or take off. Definitely my new go-to for running errands or just lounging around the house. I'm thinking about getting another one!
",Facebook,@FacebookUser_1136_931,41673,4
183,1183,5004,2024-11-02 13:50:51 UTC,"This Android Pocket Tee is fantastic! The navy color is really rich and hasn't faded after a couple of washes. The fabric is super soft and comfortable, perfect for everyday wear. I also appreciate the pocket – it's actually useful for holding my phone or keys. The fit is true to size, which is always a relief when ordering online. Definitely recommend this tee if you're looking for a simple, well-made shirt.
",Instagram,@InstagramUser_1183_314,30835,4
127,1127,5005,2025-02-15 16:37:23 UTC,"This journal is exactly what I needed! I've been trying to get serious about my YouTube channel, and the ""YouTube Transmission Journal Red"" has been a lifesaver. It's got sections for everything: video ideas, shooting schedules, keywords, even monetization tracking. The layout is super intuitive and the red cover is really vibrant. It's helped me stay organized and motivated, which is half the battle. Definitely recommend for any YouTuber, big or small!
",Instagram,@InstagramUser_1127_405,28815,4
59,1059,5005,2025-04-13 03:52:51 UTC,"I absolutely love this Google Women's Grid Zip-Up! It's so comfy and the grid pattern is subtle but really stylish. I've worn it to the gym, on walks, and even just lounging around the house. The quality is great - it feels really well-made and durable. The fit is perfect too, not too tight and not too baggy. Definitely recommend it if you're looking for a versatile and comfortable zip-up jacket!
",Instagram,@InstagramUser_1059_736,45917,4
51,1051,5005,2025-05-18 04:46:55 UTC,"I absolutely love this little pin! As a Google enthusiast who's always dreamed of visiting the Boulder campus, this is the perfect little memento. The quality is fantastic - the colors are vibrant and the detailing is surprisingly intricate for such a small piece. It's a subtle but cool way to show my appreciation for the company and it always sparks interesting conversations. Definitely worth the purchase!
",X,@XUser_1051_892,41064,4
14,1014,5005,2025-02-14 18:29:50 UTC,"This hoodie is seriously comfy! I love the simple Google Mountain View design - it's subtle enough to wear anywhere without feeling like I'm advertising too much. The material is soft and washes really well, no shrinking or fading so far. It's the perfect weight for layering, not too heavy and not too thin. Definitely my new go-to for casual days and chilly evenings. Great quality and worth the price!
",YouTube,@YouTubeUser_1014_500,47575,4
121,1121,5006,2025-02-13 19:45:52 UTC,"This little tee is absolutely adorable! The olive color is so earthy and cute on my baby. The fabric is incredibly soft, like seriously, I wish they made one in my size! It's held up really well through multiple washes too, no fading or shrinking. My baby looks like a little outdoorsy explorer in it, and I always get compliments when he wears it. Definitely recommend this shirt, it's a great basic and super comfortable for little ones.
",Threads,@ThreadsUser_1121_736,29082,4
74,1074,5006,2024-12-05 07:12:31 UTC,"My son absolutely loves this Google hoodie! The fabric is so soft and comfortable, he wears it all the time. It's held up really well after several washes, too. The color is vibrant and the Google logo is nicely done – not too flashy. He's gotten tons of compliments on it, and it's become his go-to hoodie for school and just hanging out. Definitely a great purchase and worth the money!
",X,@XUser_1074_491,20722,4
107,1107,5006,2025-03-22 00:56:47 UTC,"This Google F/C Longsleeve in Charcoal is exactly what I was hoping for. The material is super soft and comfortable, definitely not scratchy or cheap feeling. The fit is perfect – not too tight, not too baggy. I love the simple design, it's understated but still lets you show off your Google pride. I've already washed it a couple of times and it's held up great. Would definitely recommend to anyone looking for a comfy and stylish long-sleeve shirt!
",YouTube,@YouTubeUser_1107_493,27031,4
88,1088,5007,2025-01-28 12:14:01 UTC,"My son absolutely loves this Android Pocket Tee! The green color is really vibrant and looks great on him. The material is super soft and comfortable, which is a huge plus because he's pretty picky about what he wears. It's held up really well after several washes, too, no shrinking or fading. The pocket is a cute little detail. Overall, a fantastic t-shirt and definitely worth the purchase!
",Facebook,@FacebookUser_1088_289,26772,4
81,1081,5007,2025-02-26 09:09:09 UTC,"Just got my YouTube Icon Tee in charcoal and I love it! The material is super soft and comfortable, feels really high quality. The fit is perfect, not too tight and not too baggy. I've already gotten a few compliments on it. It's a subtle way to show my love for YouTube without being too flashy. Definitely recommend this tee if you're looking for a comfortable and stylish casual shirt!
",Instagram,@InstagramUser_1081_921,46020,4
156,1156,5007,2025-05-16 18:22:41 UTC,"My son loves his Google Youth FC Longsleeve! The charcoal color is really sharp, and the material is so soft and comfortable – perfect for soccer practice on chilly mornings. He says it keeps him warm without being too bulky, which is exactly what we wanted. The fit is great too, true to size. It's held up really well after several washes already, no fading or shrinking. Definitely a great purchase for any young Google FC fan!
",YouTube,@YouTubeUser_1156_246,41677,4
17,1017,5008,2025-03-06 15:05:33 UTC,"I absolutely love my Google Tee F/C Black! The fabric is super soft and comfortable, perfect for everyday wear. The fit is great, not too tight and not too baggy, just right. The black color is a nice, deep black that hasn't faded after washing. It's simple, stylish, and subtly shows my appreciation for a company I use daily. Definitely worth the purchase!
",Twitter,@TwitterUser_1017_707,38166,4
138,1138,5008,2025-01-04 20:38:03 UTC,"I absolutely love my Google Campus Bike! It's perfect for getting around the office park and running quick errands. The build quality feels really solid, and the comfortable seat makes even longer rides a breeze. I especially appreciate the integrated lights, which are super handy for those late evenings. It's definitely made getting around campus much faster and more enjoyable. Plus, it looks pretty cool!
",X,@XUser_1138_554,32501,4
18,1018,5009,2025-01-16 04:18:51 UTC,"I absolutely love this Google Campus Bike Eco Tee! The navy color is really nice and the fabric is so soft. It's clearly made from good quality material, and I appreciate that it's eco-friendly. The bike design is subtle and cool, perfect for everyday wear. I've already gotten a few compliments on it, and it's quickly become one of my favorite t-shirts. Definitely recommend grabbing one if you're looking for a comfortable and stylish tee!
",Naver Cafe,@NaverCafeUser_1018_621,24091,4
119,1119,5009,2024-12-24 01:41:31 UTC,"I absolutely love this Google Heather Green Speckled Tee! The color is even better in person - a really nice, subtle green that goes with everything. The fabric is super soft and comfortable, and the fit is perfect. I usually have trouble finding tees that aren't too boxy or too tight, but this one is just right. It washes well too, with no shrinking or fading. Definitely my new favorite everyday t-shirt!
",Threads,@ThreadsUser_1119_793,45522,4
98,1098,5009,2025-02-09 16:09:16 UTC,"This Google Vintage Navy Tee is awesome! I was looking for a simple, comfy t-shirt and this totally fits the bill. The navy color is a nice, classic shade, and the vintage-style Google logo is subtle but cool. The material is really soft and feels like it's already been washed a hundred times (in a good way!). I've worn it a few times already and it holds up great after washing. Definitely recommend if you want a casual, everyday tee with a little bit of tech nostalgia.
",YouTube,@YouTubeUser_1098_493,33925,4
184,1184,5009,2025-04-13 02:49:44 UTC,"I absolutely love my Google Campus Women's Tee! The fit is perfect, not too tight and not too baggy, just comfortably flattering. The fabric is also super soft and feels really nice against my skin. I've washed it a few times already and it's held up great, no shrinking or fading. It's a simple design, but I get compliments on it all the time. Definitely a great everyday tee for any Google enthusiast!
",YouTube,@YouTubeUser_1184_315,40188,4
40,1040,5010,2025-01-16 17:40:30 UTC,"Okay, I absolutely love this YouTube Icon Pullover! It's super comfy and the black color is really sleek. The icon itself is well-printed and hasn't faded at all after a few washes. I get compliments on it all the time from other YouTube enthusiasts. It's a great way to show my support for the platform and stay warm at the same time. Seriously, if you're a YouTuber or just a big fan, you need this pullover in your life!
",Instagram,@InstagramUser_1040_646,20813,4
71,1071,5010,2025-03-02 06:20:23 UTC,"This Google Tech Fleece is awesome! The grey color is really versatile and goes with everything. The material is so comfortable, like wearing a cloud, but still feels really durable. I've worn it for workouts, lounging around the house, and even running errands. It keeps me warm without being too bulky. Definitely worth the price!
",Twitter,@TwitterUser_1071_708,39573,2
93,1093,5010,2025-05-16 04:06:50 UTC,"Okay, I'm absolutely loving my Google Confetti Accessory Pouch! It's even cuter in person than it looks online. The pattern is so cheerful and bright, and it's surprisingly roomy. I use it to keep all my charging cables and earbuds organized when I'm traveling, and it fits perfectly in my backpack. The zipper feels sturdy and the material seems really durable. Definitely worth the purchase if you're looking for a fun and practical way to keep your tech accessories tidy!
",X,@XUser_1093_795,40823,4
201,9823,5004,2026-02-06 19:54:44 UTC,The product quality is very poor. I definitely do not recommend it.,Instagram,@DummyUser_0000,39759,4
202,10959,5003,2025-11-05 23:37:48 UTC,"The delivery was too late, and the product packaging was also a mess.",Facebook,@DummyUser_0001,33560,1
203,8858,5004,2026-03-22 23:40:16 UTC,The product quality is very poor. I definitely do not recommend it.,X,@DummyUser_0002,47751,4
204,7272,5001,2026-01-08 11:36:47 UTC,The color or design is too different from the photo. I feel deceived.,Blog,@DummyUser_0003,44427,1
205,4264,5010,2025-10-13 00:33:56 UTC,"The usage is too complicated, and the manual is unfriendly.",Blog,@DummyUser_0004,42696,2
206,5330,5010,2025-11-07 20:38:24 UTC,This quality for this price is unacceptable. Worst purchase experience.,Instagram,@DummyUser_0005,39159,2
207,5424,5007,2025-12-21 13:57:04 UTC,This quality for this price is unacceptable. Worst purchase experience.,Instagram,@DummyUser_0006,33472,2
208,9943,5004,2025-12-19 10:06:18 UTC,The customer service response was unsatisfactory. It took too long to resolve the issue.,Facebook,@DummyUser_0007,45784,1
209,10008,5007,2025-11-01 12:37:45 UTC,The product quality is very poor. I definitely do not recommend it.,Instagram,@DummyUser_0008,26861,4
210,10877,5001,2025-11-26 16:12:43 UTC,It was much more disappointing than expected. It was a waste of money.,Instagram,@DummyUser_0009,40775,2
211,2780,5003,2026-02-01 04:01:36 UTC,This quality for this price is unacceptable. Worst purchase experience.,Instagram,@DummyUser_0010,37460,2
212,6418,5002,2026-02-16 04:26:13 UTC,This quality for this price is unacceptable. Worst purchase experience.,Instagram,@DummyUser_0011,46361,2
213,8686,5005,2025-12-30 13:34:13 UTC,"The usage is too complicated, and the manual is unfriendly.",X,@DummyUser_0012,41674,2
214,8871,5004,2025-12-20 00:31:16 UTC,It was much more disappointing than expected. It was a waste of money.,Blog,@DummyUser_0013,46590,1
215,8887,5008,2026-03-28 17:43:37 UTC,"The delivery was too late, and the product packaging was also a mess.",Instagram,@DummyUser_0014,40378,2
216,8206,5008,2025-12-04 07:56:52 UTC,This quality for this price is unacceptable. Worst purchase experience.,X,@DummyUser_0015,47388,2
217,5629,5008,2025-12-31 15:47:26 UTC,The color or design is too different from the photo. I feel deceived.,Facebook,@DummyUser_0016,23336,2
218,2057,5007,2025-12-01 21:23:08 UTC,The function is not working properly. I want a refund.,X,@DummyUser_0017,26200,2
219,6355,5009,2025-12-17 10:45:24 UTC,The function is not working properly. I want a refund.,Blog,@DummyUser_0018,22726,2
220,10842,5007,2026-03-18 10:02:59 UTC,I think it would have been much better to buy a similar product.,X,@DummyUser_0019,21804,1
221,5516,5006,2026-02-19 06:56:33 UTC,This quality for this price is unacceptable. Worst purchase experience.,X,@DummyUser_0020,34759,1
222,10769,5005,2025-12-19 16:09:29 UTC,The color or design is too different from the photo. I feel deceived.,Facebook,@DummyUser_0021,20419,1
223,8496,5009,2025-10-05 14:51:36 UTC,This quality for this price is unacceptable. Worst purchase experience.,Blog,@DummyUser_0022,34671,1
224,10920,5009,2025-10-27 06:14:25 UTC,I think it would have been much better to buy a similar product.,Instagram,@DummyUser_0023,39264,1
225,10003,5004,2025-10-07 13:20:38 UTC,The customer service response was unsatisfactory. It took too long to resolve the issue.,Instagram,@DummyUser_0024,26682,1
226,8533,5004,2025-11-26 17:11:32 UTC,The function is not working properly. I want a refund.,Facebook,@DummyUser_0025,43844,2
227,10387,5001,2025-11-12 15:01:27 UTC,The color or design is too different from the photo. I feel deceived.,X,@DummyUser_0026,42160,2
228,5480,5010,2026-01-02 09:48:08 UTC,"The delivery was too late, and the product packaging was also a mess.",Blog,@DummyUser_0027,44999,2
229,5957,5003,2026-01-26 21:35:03 UTC,This quality for this price is unacceptable. Worst purchase experience.,Instagram,@DummyUser_0028,48890,2
230,6436,5006,2025-12-14 10:32:20 UTC,The function is not working properly. I want a refund.,Facebook,@DummyUser_0029,30684,2
231,1195,5003,2026-01-18 15:20:24 UTC,"The usage is too complicated, and the manual is unfriendly.",Blog,@DummyUser_0030,39573,1
232,2334,5009,2025-12-11 23:24:59 UTC,The customer service response was unsatisfactory. It took too long to resolve the issue.,Facebook,@DummyUser_0031,23485,2
233,5919,5004,2026-03-17 12:03:51 UTC,I think it would have been much better to buy a similar product.,Blog,@DummyUser_0032,46965,1
234,10669,5010,2025-10-12 22:03:30 UTC,I think it would have been much better to buy a similar product.,Blog,@DummyUser_0033,46486,1
235,6540,5001,2026-02-05 17:42:55 UTC,"The delivery was too late, and the product packaging was also a mess.",Instagram,@DummyUser_0034,49946,1
236,10500,5001,2026-01-22 16:37:47 UTC,"The usage is too complicated, and the manual is unfriendly.",Blog,@DummyUser_0035,45426,2
237,10661,5006,2026-02-15 09:31:42 UTC,It was much more disappointing than expected. It was a waste of money.,Instagram,@DummyUser_0036,39064,1
238,5975,5006,2025-12-24 06:54:33 UTC,"The usage is too complicated, and the manual is unfriendly.",Blog,@DummyUser_0037,24257,1
239,4462,5004,2025-12-10 05:27:47 UTC,This quality for this price is unacceptable. Worst purchase experience.,Facebook,@DummyUser_0038,43682,1
240,5744,5001,2025-10-05 09:15:46 UTC,It broke down quickly. The durability is very poor.,X,@DummyUser_0039,35369,2
241,3407,5003,2026-03-04 09:38:24 UTC,The customer service response was unsatisfactory. It took too long to resolve the issue.,Instagram,@DummyUser_0040,28332,2
242,4533,5005,2025-12-10 23:42:25 UTC,The product quality is very poor. I definitely do not recommend it.,Instagram,@DummyUser_0041,26200,4
243,6531,5010,2025-12-14 04:28:47 UTC,The function is not working properly. I want a refund.,Facebook,@DummyUser_0042,24766,2
244,9141,5003,2025-10-02 06:05:38 UTC,The color or design is too different from the photo. I feel deceived.,Facebook,@DummyUser_0043,36735,2
245,5327,5002,2025-10-22 02:27:37 UTC,It was much more disappointing than expected. It was a waste of money.,Instagram,@DummyUser_0044,49455,2
246,4606,5010,2025-10-13 17:37:41 UTC,The function is not working properly. I want a refund.,X,@DummyUser_0045,37268,1
247,4764,5008,2025-10-17 12:13:55 UTC,"The delivery was too late, and the product packaging was also a mess.",Instagram,@DummyUser_0046,33923,2
248,8710,5001,2025-11-06 11:39:10 UTC,I think it would have been much better to buy a similar product.,Facebook,@DummyUser_0047,30563,1
249,8857,5007,2026-03-16 22:18:34 UTC,The product quality is very poor. I definitely do not recommend it.,Instagram,@DummyUser_0048,36372,4
250,7170,5004,2025-10-14 12:55:52 UTC,It broke down quickly. The durability is very poor.,Blog,@DummyUser_0049,22810,2
